N:K9.K972.AT9.Q742 AJT8.43.QJ864.85 653.QJ86.52.AJT6 Q742.AT5.K73.K93
S:Q4.KJ84.KQT95.AK 932.Q.A8763.QT54 AJT75.753.J2.832 K86.AT962.4.J976
W:K2.43.AQJ8653.A9 A9873.92.7.JT643 JT.AKJ.KT42.K875 Q654.QT8765.9.Q2
N:T8.9.AKJT962.A74 A32.AT6.Q83.QT85 Q654.Q732.54.K62 KJ97.KJ854.7.J93
E:AK5.A975.95.QT82 Q987642.Q842.J7. T3.KJT3.K643.J64 J.6.AQT82.AK9753
S:A7.J5.5.AKQT9852 3.AQT87643.872.6 QT9654..KQJT6.43 KJ82.K92.A943.J7
W:K6.AQJ5.KT943.Q2 AJT2.T.AJ8652.J9 743.K3.7.KT87653 Q985.987642.Q.A4
N:72.543.AKQ953.K6 J86543..6.QT9842 AQ.KT98.J8742.AJ KT9.AQJ762.T.753
E:6.7.AJ9532.AKQT7 AKJ2.QT82.K8.632 QT93.AKJ54.Q7.J8 8754.963.T64.954
S:AT.53.KQ63.AQ962 84.AKJ97.J74.T84 Q96.QT2.T985.K73 KJ7532.864.A2.J5
W:J73.KJ9.Q852.AK3 A9542.Q8432.6.T2 K.AT75.AT93.J974 QT86.6.KJ74.Q865
N:AT6.KQ85.AQJ.732 Q754.72.K97.T854 KJ32.A4.T865.AQJ 98.JT963.432.K96
E:Q8.AJ93.AKT4.976 KJ975.KT5.3.J853 T6.Q8642.985.AT4 A432.7.QJ762.KQ2
S:A872.A63.A96.QT2 T6.JT85.KQT4.AJ4 J94.K42.J832.K87 KQ53.Q97.75.9653
W:A87.AQ8.764.QJ86 QT3.K953.JT.AT92 K95.2.AQ8532.753 J642.JT764.K9.K4
N:KT65.8752.A.AK83 Q832.AK.J985.Q65 J97.QT93.T76.JT2 A4.J64.KQ432.974
E:AK5.A942.QJ3.K52 T76.T875.A7.QJ83 9832.QJ3.T9652.9 QJ4.K6.K84.AT764
S:KJ72.AK6.QJ83.Q9 AT65.J4.KT9.KT83 43.872.A754.AJ52 Q98.QT953.62.764
W:3.AT76.A984.AT98 K6.843.J2.KQ6432 A984.KQ92.KT653. QJT752.J5.Q7.J75
N:AJ6.J87.Q4.AJ986 K8432.A65.9872.5 Q.KQ2.J53.KQT742 T975.T943.AKT6.3
E:A6.AJ72.Q4.KT832 952.Q4.J8752.QJ4 QJ43.T3.AK63.975 KT87.K9865.T9.A6
S:A76.86.KJ3.AJ432 QT8.AT95.984.KQ7 K95432.Q3.A752.6 J.KJ742.QT6.T985
W:KQ5.J42.AK763.KJ AJT64.AKQ8.JT4.9 93.7653.852.A753 872.T9.Q9.QT8642
N:AKQT.KT.Q.AKJT95 2.A985.J642.8743 76.Q643.K8753.62 J98543.J72.AT9.Q
E:K3.A964.75.AKQT2 862.QT872.AJ642. AQ74.53.KQ93.J73 JT95.KJ.T8.98654
S:AJ8.AT7.QJT5.AK6 972.Q542.6.J7532 K53.KJ63.A8432.8 QT64.98.K97.QT94
W:J73.K43.AKJ.J542 K952.Q87.96532.6 .AJT65.T8.KT9873 AQT864.92.Q74.AQ
N:KQ6.K83.JT5.KJ95 T8432.T42.82.QT4 A5.J76.A9743.A83 J97.AQ95.KQ6.762
E:7.QT74.Q3.AKQJ64 Q53.KJ9.K9762.52 964.A653.AT84.87 AKJT82.82.J5.T93
S:A83.9.AKQJ5.QT62 JT954.A6.86.J953 Q7.K7543.T973.K7 K62.QJT82.42.A84
W:QT4.A5.QJ96.AK64 9863.KQT2.85.T53 AJ52.987.43.Q987 K7.J643.AKT72.J2
N:KQ7.J6.AQ8753.Q9 T54.KQ952.T.AK32 AJ96.AT3.K94.765 832.874.J62.JT84
E:A93.AQ9.AK542.AQ K76.54.QJT3.KJ96 JT84.JT83.87.873 Q52.K762.96.T542
S:K75.Q953.AT9.KJ4 JT42.JT4.32.QT73 A9.AK76.KJ4.A985 Q863.82.Q8765.62
W:A5.KQ3.AT543.T52 KQJT4.9652.82.A3 973.T7.K976.QJ97 862.AJ84.QJ.K864
N:AJT8.AJ6.52.KJT6 73.QT32.J976.Q93 KQ2.875.QT83.A85 9654.K94.AK4.742
E:AT8.AKJ.QJT64.32 K732.Q7.53.AJT94 Q4.986542.AK2.87 J965.T3.987.KQ65
S:A87.K63.642.AK87 QT2.JT98.A98.J94 94.Q52.KJ753.Q62 KJ653.A74.QT.T53
W:AQ7.QT32.A32.J32 986.J976.Q98.T65 T42.K84.KT6.AQ84 KJ53.A5.J754.K97
N:QJ.QT9.K654.AQ85 8764.86.AT932.32 AK9.A732.QJ87.94 T532.KJ54..KJT76
E:KT82.A983.QT5.K3 Q54.K.J9762.T942 AJ96.Q52.A43.AQ7 73.JT764.K8.J865
S:J73.AQ76.QT6.K97 KQ52.T5.A842.AT8 A4.KJ983.93.Q653 T986.42.KJ75.J42
W:A64.KT9.A7.KQ654 KJ7.8765.K84.JT7 QT52.43.Q9632.A3 983.AQJ2.JT5.982
N:95.A432.AJ5.KQ74 K8643.Q98.632.95 JT7.K5.KQ874.JT2 AQ2.JT76.T9.A863
E:A432.T.AQ.KQJ932 8765.K9843.J7.A7 QJ9.AQJ76.95.T65 KT.52.KT86432.84
S:AT6.64.KQ82.AKQJ KQ84.AJ832.J94.9 75.KQT9.A763.T32 J932.75.T5.87654
W:A.QT74.84.AKQ952 J8732.86.KQT76.6 T64.J52.AJ953.83 KQ95.AK93.2.JT74
N:.KT4.A876.AQT952 AQJ973.A75.K2.86 K.QJ982.QJT95.J4 T86542.63.43.K73
E:76.KJ4.AJ985.AK5 KJ853.A762.T3.JT AQ4.Q985.Q2.7432 T92.T3.K764.Q986
S:KJ54.QJ72.4.AJ72 86.T8.T8632.KT85 AQ973.A954.AKQ9. T2.K63.J75.Q9643
W:K2.9.AKQJ83.J987 QJT9.JT76432..K5 87543.Q8.652.QT6 A6.AK5.T974.A432
N:K3.AJT9.8543.A96 J9654.Q.6.KQT754 T8.K8732.KJT.J83 AQ72.654.AQ972.2
E:Q7.AKJ5.AQ83.Q72 KJ832.4.J742.T83 T654.9732.K5.KJ4 A9.QT86.T96.A965
S:QT4.765.AK9.AJ54 K32.AT8.Q632.Q87 J6.K432.J4.T9632 A9875.QJ9.T875.K
W:K8.K653.KT.AQT96 65.A972.Q953.KJ4 AT97432.T.4.8532 QJ.QJ84.AJ8762.7
N:J92.K3.K9.AKQT98 AQT863.74.J5.J65 5.A9852.AQT.7432 K74.QJT6.876432.
E:74.AQJ.A873.KJ95 A62.T64.KJ652.64 KQ853.K98.QT.T83 JT9.7532.94.AQ72
S:J86.AQ5.J6.AKT83 Q9.T9742.AK7.Q64 AKT4.J.Q9542.975 7532.K863.T83.J2
W:KQT5.K95.KQ754.7 A3.QT.A8.AKQJ542 J987.AJ64.T962.3 642.8732.J3.T986
N:652.AJ8.AQJ64.AT AKQ4.Q432.T3.J95 T987.95.875.KQ87 J3.KT76.K92.6432
E:K.KJ65.AQJT86.A3 J5.AQ98432.73.Q8 AQ86.T7.K42.9752 T97432..95.KJT64
S:Q876.QJ.QT95.KQ6 53.T752.AK76.832 KJ942.98.2.JT954 AT.AK643.J843.A7
W:KJ..AK98653.A753 AQ92.KT75.Q7.QJ6 T743.QJ6432.42.9 865.A98.JT.KT842
N:KJ2.AT87.AQ64.J6 3.K4.KT973.KT985 T94.QJ5.852.AQ73 AQ8765.9632.J.42
E:2.A732.KJT953.AQ AKT6.KT9.AQ.KJ97 J98.J54.7.T86543 Q7543.Q86.8642.2
S:A85.987.AQ62.Q54 QT632.AK4.KJT8.A KJ94.532.75.JT93 7.QJT6.943.K8762
W:KQT8.J62.AJ2.KQ6 J74.QT75.873.J75 A9532.93.KQ95.A3 6.AK84.T64.T9842
N:K.AQT5.976.KT932 AJ42.9843.A82.J6 QT97.J76.T43.Q75 8653.K2.KQJ5.A84
E:6.K9.AK9.K986432 Q.J852.T872.AJ75 J8742.A7.QJ654.T AKT953.QT643.3.Q
S:AKQ9.T86.953.AJ6 T53.2.AQJ72.Q732 J84.97543.86.K98 762.AKQJ.KT4.T54
W:AJ72.872.AQ2.AK2 T6.K4.JT8753.J73 984.Q963.64.T986 KQ53.AJT5.K9.Q54
N:A75.J.K92.AKT843 T43.QT854.AT43.2 KQ62.AK9762..J95 J98.3.QJ8765.Q76
E:J3.AK5.AQ97.KJ96 Q6.763.2.AQT7543 T82.QT9842.863.2 AK9754.J.KJT54.8
S:Q65.AJ9.AKJT7.T8 AT43.874.943.753 J9872.T63.865.AK K.KQ52.Q2.QJ9642
W:Q84.KQJ.J62.KT76 K32.AT4.KQT97.Q2 J75.9865.A43.AJ5 AT96.732.85.9843
N:2.A82.AJT2.AK874 KJ987.Q43.K53.62 A653.T76.Q9876.Q QT4.KJ95.4.JT953
E:J75.K976.AK92.QJ Q9632.AJ4.J85.84 AK.QT53.QT43.AK5 T84.82.76.T97632
S:82.AQ6.KJ964.AJ3 K3.T9832.AQ7.Q75 AQ976.J4.53.KT84 JT54.K75.T82.962
W:A754.42.QJ85.KQJ QT93.AQJ63.A76.4 86.KT987.K92.T65 KJ2.5.T43.A98732
N:3.AJ.KJ8.QJT9743 9652.Q832.AQ32.K AJ7.KT4.T7654.86 KQT84.9765.9.A52
E:872.Q.AQ987.AJ62 Q9.AK9.JT32.KQ54 K4.T853.K65.T973 AJT653.J7642.4.8
S:KQ3.92.AK4.J8532 AT765.KJT.62.KQ9 J9842.A7543.T.76 .Q86.QJ98753.AT4
W:AQ87.AT2.62.KT74 T65.J85.QT.QJ862 J2.Q93.KJ875.953 K943.K764.A943.A
N:93.K653.A72.AK52 JT6.A8.JT65.T643 AQ875.J97.94.J98 K42.QT42.KQ83.Q7
E:Q9.KT3.KQ94.A963 J8652.842.86.J74 KT3.AQ975.75.KT5 A74.J6.AJT32.Q82
S:K9.92.AT93.AK642 AJ642.QJ4.KQ.JT8 QT873.AT853.5.Q3 5.K76.J87642.975
W:Q932.K64.K932.A7 JT854.AQ73.AQ6.J K6.T.JT874.KT653 A7.J9852.5.Q9842
N:KQJ3..QT53.AQ874 T.KT94.AKJ.KJT92 A9764.Q865.762.3 852.AJ732.984.65
E:J7.AT8.AK985.964 653.Q643.J32.Q72 QT2.9752.QT76.AK AK984.KJ.4.JT853
S:K9.6.AKT732.KT74 T85.AKT2.QJ4.A53 AQ3.J854.5.QJ862 J7642.Q973.986.9
W:AKQ3.9842.A7.Q73 8642.KJ.J82.A984 J5.AT653.T3.KT65 T97.Q7.KQ9654.J2
N:KQ42.J5.A98.Q532 T953.AT764..T974 A6.KQ932.T5432.A J87.8.KQJ76.KJ86
E:A.KQ62.AQ.KJT852 QJ96.A53.KJT93.A KT832.T9.854.963 754.J874.762.Q74
S:AQT2.KJ4.AK.KJT7 K74.6.74.AQ86532 J.AQ98532.QT982. 98653.T7.J653.94
W:KJ74.A862.65.A63 A.QT3.AQJ84.K754 T52.75.KT732.J98 Q9863.KJ94.9.QT2
N:J86.QJ3.K6.AQ954 2.K8762.98532.K8 KQT953.A9.AJT.T2 A74.T54.Q74.J763
E:AJ75.Q8.K73.K743 98.J9632.Q.QJT52 KQT2.AK74.JT.986 643.T5.A986542.A
S:Q94.K64.AT5.QJ65 AJT8652.Q5.Q.972 3.AJ3.KJ9742.AK8 K7.T9872.863.T43
W:K2.J.J875.AKJ965 AJ854.AK863.K96. .9542.QT42.QT743 QT9763.QT7.A3.82
N:AK98.Q8.942.AJ96 J53.7.K86.Q87543 72.KT652.AQT73.T QT64.AJ943.J5.K2
E:AQ73.AK73.87.K62 8654.J62.952.Q43 KJ.Q8.AKJ6.AJ987 T92.T954.QT43.T5
S:Q9.Q843.AKQT4.AT A2.A952.32.Q9853 JT865.KT6.865.K7 K743.J7.J97.J642
W:J6.65.A62.AKJT62 K3.AKQJ732.J97.4 42.94.KQ43.Q9873 AQT9875.T8.T85.5
N:KQT2.87.K865.A32 J976.JT42.A74.T6 A83.A9.J9.KQ9875 54.KQ653.QT32.J4
E:KJ5.AJ.AQ76.AQJ6 AT432.Q83.J985.7 986.KT9752.32.32 Q7.64.KT4.KT9854
S:632.Q3.AKQ962.Q2 AQJ8.AK6.J83.986 754.T952.T54.753 KT9.J874.7.AKJT4
W:AJ2.J986.KJ.AQ64 KQT8543.AT43..87 76.K7.AQT32.J532 9.Q52.987654.KT9
N:J753..AKQJ.AJ843 AQ.AQT654.T862.9 T92.J932.73.QT75 K864.K87.954.K62
E:.KQ93.AQT732.QJ4 6543.AJ8.J985.K2 KQJ98.742.K.A873 AT72.T65.64.T965
S:K5.QJ93.Q74.A874 QT876.T764.T3.QT A3.K52.K85.KJ962 J942.A8.AJ962.53
W:QJ65.K875.A9.QJ2 T.AQJ96.KQJ86.73 AK43.T4.T7432.64 9872.32.5.AKT985
N:AT7.A862.A862.52 J532.7.QJ.AKQT97 K84.KQT93.T973.J Q96.J54.K54.8643
E:KQJ.J7.AK93.QJ74 T76.AQT.4.AT9652 A85432.K832.T7.8 9.9654.QJ8652.K3
S:A963.KQT.62.AJ43 Q7542.J542.94.T2 J.A973.KT873.986 KT8.86.AQJ5.KQ75
W:32.9873.AKT9.AQT QT764.K2.J642.53 AJ8.J64.Q8.K9642 K95.AQT5.753.J87
N:K932.A6.AT54.K98 A7.JT875.Q87.QJ3 Q864.K94.96.T764 JT5.Q32.KJ32.A52
E:T52.6.KJ32.AKQ65 87.T9432.T865.98 AKJ64.AKQ87..432 Q93.J5.AQ974.JT7
S:KJ3.92.AK654.J96 Q98652.QJ643..Q7 A74.87.J932.AK84 T.AKT5.QT87.T532
W:J32.AK9.K986.QT8 5.J86542.4.AK754 QT94.T.AJT5.J632 AK876.Q73.Q732.9
N:AJ6.A842.Q987.K6 Q7.Q963.KJ642.A3 T42.T5.T53.QJ742 K9853.KJ7.A.T985
E:QJ4.Q862.A6.KJT6 A52.73.J9853.Q32 KT.AKJ95.QT742.5 98763.T4.K.A9874
S:AQ7.K75.AJ72.952 K9863.J864.KT5.A J2.AQ32.Q83.KQ76 T54.T9.964.JT843
W:K862.A984.KQ.Q86 AT9.KQ2.JT84.K95 J743.7.A532.JT72 Q5.JT653.976.A43
N:K876.AJ.J73.KJ64 AQT9.986432..T85 J42.75.AK982.AQ3 53.KQT.QT654.972
E:94.KQT9.J.AQ7543 A52.J742.Q92.T92 QJT86.A53.AK74.8 K73.86.T8653.KJ6
S:4.AQ95.KQJT3.AK7 AKT96.T864.A87.T 873.K32.652.9654 QJ52.J7.94.QJ832
W:AK4.86.842.AQJ52 Q93.AK.9765.T976 J72.QJT9432.JT.K T865.75.AKQ3.843
N:K54.T.AJ53.KQ875 Q762.KQ8.62.J432 J8.J643.T9874.A9 AT93.A9752.KQ.T6
E:K8.K953.KQJ6.A85 53.AT62.T52.KJ72 QT762.J84.974.43 AJ94.Q7.A83.QT96
S:K42.AJT3.QT5.AQ4 T653.96.J873.652 AJ98.K.A9642.JT9 Q7.Q87542.K.K873
W:K932.K9.K985.K75 J76.A76.Q6.QJ982 AQ84.QT842.JT.AT T5.J53.A7432.643
N:QJ.AK2.K8.KQJT65 543.9764.T97.872 KT972.83.A53.A43 A86.QJT5.QJ642.9
E:K942.K2.AJ65.K82 AJT75.AJT94.Q.J6 3.Q765.KT9874.T7 Q86.83.32.AQ9543
S:AT.KQ7.J84.KJT53 J95.T532.AKT76.A KQ74.4.Q93.Q7642 8632.AJ986.52.98
W:K5.A.K9763.AJT43 JT96.532.Q82.K96 832.QT7.AJT4.Q82 AQ74.KJ9864.5.75
N:J543.A3.KQ8.QT94 82.JT742.A64.A32 AKQT96.K8.J92.85 7.Q965.T753.KJ76
E:AT6.KJ42.T5.AK92 KQ.AT7.4.QT87543 J87542.Q985.A62. 93.63.KQJ9873.J6
S:A5.T976.AK7.J963 Q97642.J.T842.T2 JT83.85.QJ93.854 K.AKQ432.65.AKQ7
W:A3.KQ64.K543.T82 Q972.852.J82.K73 T864..AT97.AQJ95 KJ5.AJT973.Q6.64
N:A65.A54.KJ954.J7 T82.J8732.A2.T32 KQ4.QT9.QT83.KQ9 J973.K6.76.A8654
E:KJ8.JT7.T4.AQJT5 Q9754.AK54.76.42 6.Q62.AJ9532.863 AT32.983.KQ8.K97
S:KQT5.J.AQT765.J9 A932.K9876.K98.6 64.AQ53.43.AQT42 J87.T42.J2.K8753
W:AQ.Q976.A86.Q732 KT95.84.KT4.AJT8 8762.AJT3.Q92.54 J43.K52.J753.K96
N:KQT8.9.AQ7652.Q3 A942.AKT84.94.98 763.Q52.J3.AKJ64 J5.J763.KT8.T752
E:A86.K5.AJ2.QT943 Q42.A76.K853.A75 KT3.932.Q74.KJ62 J975.QJT84.T96.8
S:AT8.J5.K8532.KJ6 62.64.QJ97.QT932 KQJ743.A973.4.87 95.KQT82.AT6.A54
W:KQ6.AK76.8654.54 J.Q83.AKJT2.Q632 T7542.T52.Q3.987 A983.J94.97.AKJT
N:AQ32.4.K2.QJ8762 86.KJ982.J863.93 T4.T765.AQT75.K4 KJ975.AQ3.94.AT5
E:KQJ9.KT52.K83.J9 53.Q974.A7.K5432 862.A86.J962.T87 AT74.J3.QT54.AQ6
S:AJT4.KQJ8.JT.764 KQ5.T72.872.J932 .A654.AKQ53.KQT8 987632.93.964.A5
W:K963.K5.KT4.KQT7 Q52.74.A8532.532 AT.Q9832.J7.AJ96 J874.AJT6.Q96.84
N:KJ7.A64.A6.T9542 AQ32.93.Q8753.83 4.KQJT82.KJT9.AQ T9865.75.42.KJ76
E:KJ9.AQ.KJ9.A8732 T.KJT7.A8532.Q96 63.98643.76.KJ54 AQ87542.52.QT4.T
S:J3.A92.QJ72.AK63 9754.JT64.65.QJ8 AQ86.K.AT94.9754 KT2.Q8753.K83.T2
W:QJ.J.AKJT2.KJ954 T754.AK963.97.76 K93.Q872.8643.82 A862.T54.Q5.AQT3
N:AQT4..QT5.AK8432 K953.762.842.965 J7.JT85.AKJ93.QT 862.AKQ943.76.J7
E:.KQJ9.KQ86.KT753 AT975.A84.A95.J8 KJ86.T3.T7432.AQ Q432.7652.J.9642
S:K86.AK52.963.KJ3 AQJ.97.AQ85.8652 T95.JT643.K42.74 7432.Q8.JT7.AQT9
W:AK.9542.KJ85.K85 953.AJ8.973.QT92 QJT762.3.AT6.J43 84.KQT76.Q42.A76
N:A5.QJ64.AQ92.K95 87642.A.T543.JT4 T9.K953.J8.Q7632 KQJ3.T872.K76.A8
E:T964.A63.972.AKJ KQJ72.875.QJ6.52 .J942.AT8543.Q74 A853.KQT.K.T9863
S:QT.A.JT98.AKQ865 AKJ5.K64.74.J943 6.QT87532.K6532. 987432.J9.AQ.T72
W:AK84.A84.J85.K65 763.KJ75.A3.T842 J952.QT92.Q9.AQJ QT.63.KT7642.973
N:A32.KQ.KJ83.J864 J6.AJ764.A9.Q732 Q954.T92.T654.AT KT87.853.Q72.K95
E:AT76.Q53.K6.AJT2 QJ54.J6.Q8753.84 K2.AT42.AJ9.K963 983.K987.T42.Q75
S:AQ32.KJ.KJ96.J63 85.QT64.T543.AK2 T9764.9873.82.Q5 KJ.A52.AQ7.T9874
W:J9.AK96.AKQ3.Q95 AQ52.8543.65.A32 T64.Q2.9874.KJ87 K873.JT7.JT2.T64
N:QJ5.KQ92.32.AQ98 AK8.J6.AQ964.K53 42.T7543.T85.764 T9763.A8.KJ7.JT2
E:AT75.AT65.A963.7 Q62.J72.Q.KQJT83 J93.KQ943.K54.A4 K84.8.JT872.9652
S:632.AT4.A42.KJ64 Q.Q97532.K53.Q85 KT85.K86.J6.T972 AJ974.J.QT987.A3
W:J6.A97.QJT5.AKJ3 K875.K65.A943.84 T4.832.K82.QT972 AQ932.QJT4.76.65
N:AK5.J87.KQ64.AKJ 987.KT42.T7.QT98 J.653.A832.76542 QT6432.AQ9.J95.3
E:KQ63.JT.KT9.KQ73 A9.97.J7652.AT92 T874.A6.Q843.J54 J52.KQ85432.A.86
S:Q932.K8.AQ8.KQJT A64.A632.743.432 JT875.T.KJ65.976 K.QJ9754.T92.A85
W:QT32.AQ.83.AQ876 8.KT8632.KJ64.32 AK9765.J954.Q97. J4.7.AT52.KJT954
N:AQJ9.J63.KJ5.AK5 74.KQT98742.A.82 8632.A.T98632.Q4 KT5.5.Q74.JT9763
E:QJT3.J73.A.KQ654 6.Q84.KT987.AJT8 AK95.AKT96.432.7 8742.52.QJ65.932
S:QJ3.AKT.J532.Q98 T975.Q754.KQ7.J6 8642.962.AT84.A4 AK.J83.96.KT7532
W:J97.9432.AQ7.AQ5 8632.AQT65.4.J62 AQT5.KJ8.965.KT7 K4.7.KJT832.9843
N:Q4.AQ96.AJ86.976 AK86.T3.KQT9742. JT9.J854..AQJ853 7532.K72.53.KT42
E:AKJ6.Q75.K987.65 95.863.AQT3.J842 QT43.AKJT94.4.T3 872.2.J652.AKQ97
S:KT84.QJ98.A2.QJ3 2.K6.KQ8763.9865 QJ73.AT532.J9.72 A965.74.T54.AKT4
W:K932.AK75.KT3.43 J.QT9.A8752.Q952 AT7654.J83..J876 Q8.642.QJ964.AKT
N:Q8.K93.AJ6543.Q2 KT73.A87.K7.AK87 A94.QJ6.T82.T954 J652.T542.Q9.J63
E:9654.86.AKT.AJT5 KJ82.QJ5.754.983 AT73.K972.Q83.K2 Q.AT43.J962.Q764
S:AK6.KJ3.JT64.Q52 QT54.Q.AQ853.643 J932.8642.K7.AJ9 87.AT975.92.KT87
W:K96.J92.AKJT.982 QT53.AK6.9543.J6 A.8753.Q86.AQ543 J8742.QT4.72.KT7
N:J42.AK8.J72.AK64 A95.QJT93.K95.97 T863.652.AQ.T853 KQ7.74.T8643.QJ2
E:.J642.AQJ54.A752 KQ6.853.96.KQ864 AT98.AKT7.T32.93 J75432.Q9.K87.JT
S:AKJ.Q4.A75.AKQ32 T93.AK87.K6.J754 Q84.JT953.J832.6 7652.62.QT94.T98
W:96.AK.AKJ96.QT64 AKQ7.J65.T72.932 J52.QT83.83.AJ85 T843.9742.Q54.K7
N:J62.KT76.AK3.A92 T5.943.T84.QJT64 AK7.J52.Q962.K75 Q9843.AQ8.J75.83
E:KJ85.84.Q5.AQT65 76.KJ7.KT843.KJ4 AQ9.QT652.AJ7.72 T432.A93.962.983
S:AJ97.A4.Q853.A32 85432.9.A.Q98754 KQT.73.JT9642.JT 6.KQJT8652.K7.K6
W:753.KQ75.QJ.A973 AT9.AT98.KT83.64 KQ86.32.9762.KJ2 J42.J64.A54.QT85
N:KQ42.98.AQ93.A82 A9876.KJT4.42.Q6 J53.A.K876.KT943 T.Q76532.JT5.J75
E:A64.AJT9.K3.AKT3 953.KQ74.954.J52 J72.86532.T8.964 KQT8..AQJ762.Q87
S:A76.AJT.86.QJ875 84.7542.A7532.63 KT2.Q98.94.AKT92 QJ953.K63.KQJT.4
W:J94.872.AK6.KJ42 QT75.Q3.T972.Q73 K862.AJ54.4.AT86 A3.KT96.QJ853.95
N:QJ96.KQ7.J7.K763 T743.T985.K94.T5 AK82.2.AQ83.QJ92 5.AJ643.T652.A84
E:K9.K.AK86542.Q73 AJ64.52.T.J86542 T732.AJ986.QJ7.9 Q85.QT743.93.AKT
S:AQJ.K83.AQ86.542 9.JT2.KJT975.863 T8542.AQ.4.AKJT7 K763.97654.32.Q9
W:94.T84.AKT62.KQ9 KJ8.A3.987.J7542 52.KJ72.QJ3.AT86 AQT763.Q965.54.3
